IdCT,NameType,MinAge,RequiredExperience
191,malesuada,26,1
192,sem,20,1
193,molestie,34,2
194,tellus,45,3
195,fames,31,3
196,ac,46,3
197,ligula.,44,1
198,egestas.,35,2
199,Nulla,46,2
200,tellus,24,2
201,Nunc,24,3
202,"nec,",25,2
203,convallis,23,1
204,sed,28,3
205,gravida,40,3
206,risus,17,3
207,ipsum,23,3
208,erat,19,2
209,"vulputate,",20,2
210,dictum,42,3
211,nascetur,28,1
212,"lorem,",26,2
213,odio.,34,2
214,eu,31,2
215,"vel,",40,3
216,quis,32,1
217,lectus.,38,3
218,commodo,34,2
219,metus.,46,2
220,odio,32,2
221,sit,20,2
222,ridiculus,47,1
223,Ut,24,2
224,Proin,49,2
225,Donec,36,2
226,amet,43,3
227,sollicitudin,46,3
228,Donec,44,3
229,interdum.,18,2
230,Maecenas,32,1
231,pharetra,39,2
232,"mauris,",17,3
233,tellus,47,2
234,lorem,34,2
235,tempor,32,2
236,sed,20,2
237,Nullam,45,2
238,vitae,37,3
239,risus.,45,3
240,interdum,30,2
241,est.,36,3
242,Suspendisse,32,1
243,dui,35,2
244,nibh,46,2
245,feugiat,44,1
246,"montes,",44,1
247,"tincidunt,",22,3
248,molestie,43,2
249,dignissim,49,2
250,ac,46,3
251,semper,44,2
252,Nam,22,1
253,malesuada,38,2
254,ipsum.,34,2
255,"amet,",34,2
256,vel,32,2
257,nec,31,3
258,nisl.,49,3
259,"a,",34,1
260,consequat,43,2
261,nunc,42,3
262,lobortis,30,2
263,rhoncus.,41,3
264,nulla.,43,3
265,laoreet,31,2
266,ut,20,2
267,ultricies,33,1
268,Proin,34,2
269,Aliquam,47,2
270,"nec,",18,3
271,"eu,",23,2
272,ornare,36,2
273,ullamcorper,17,1
274,dui,39,2
275,semper,33,2
276,magna,32,1
277,et,22,3
278,Suspendisse,30,3
279,vestibulum,31,2
280,consequat,23,1
281,Morbi,36,3
282,aliquam,32,2
283,est.,27,1
284,libero,16,1
285,aliquam,30,3
286,metus,40,2
287,Morbi,32,2
288,faucibus,26,3
289,eget,48,1
290,enim.,27,2
291,elit.,25,2
292,egestas,50,1
293,natoque,34,3
294,dolor,41,3
295,egestas.,28,3
296,Quisque,46,2
297,accumsan,42,2
298,euismod,41,2
299,ut,47,2
300,sociis,24,2
301,Nulla,33,2
302,"tellus,",47,2
303,purus.,35,1
304,ultricies,29,3
305,fringilla,47,2
306,nonummy,31,2
307,Nunc,33,1
308,dis,29,2
309,augue.,33,3
310,Morbi,25,2
311,commodo,28,1
312,porttitor,34,2
313,Donec,22,2
314,nec,31,3
315,"nec,",17,2
316,morbi,22,2
317,vitae,22,3
318,risus.,47,1
319,"congue,",29,3
320,Nunc,39,1
321,odio.,36,3
322,Nunc,38,1
323,non,47,2
324,vitae,36,1
325,euismod,45,3
326,"non,",36,3
327,Nam,36,3
328,vestibulum,41,1
329,sollicitudin,42,1
330,facilisis,23,2
331,interdum,21,2
332,Proin,40,1
333,Nulla,50,3
334,nibh,34,2
335,"ornare,",41,2
336,erat,30,2
337,euismod,26,1
338,diam,24,2
339,sociis,23,2
340,Integer,21,1
341,malesuada,17,3
342,velit.,20,2
343,a,31,3
344,porttitor,36,2
345,Class,48,3
346,est,19,2
347,"montes,",43,1
348,tristique,42,2
349,id,17,2
350,varius,36,3
351,Cras,25,3
352,nunc,33,1
353,aliquet,28,2
354,pede.,25,2
355,rhoncus.,32,2
356,augue.,26,3
357,morbi,16,2
358,eros,31,1
359,interdum,47,3
360,sociosqu,46,2
361,lacus.,49,2
362,"est,",25,2
363,rutrum,39,3
364,vitae,42,1
365,vel,22,1
366,nascetur,40,1
367,malesuada,18,3
368,gravida,36,2
369,sodales,43,1
370,Sed,28,2
371,Phasellus,23,2
372,"quam,",37,1
373,ac,23,2
374,elit.,47,1
375,interdum,45,2
376,libero,19,1
377,orci,35,2
378,"nec,",23,1
379,Aliquam,47,2
380,mauris,46,1
381,lectus,30,2
382,euismod,24,2
383,Cum,24,3
384,diam,28,2
385,egestas,42,2
386,cubilia,20,1
387,metus.,38,3
388,mi,23,1
389,orci,49,1
390,orci,19,2
391,fames,50,3
392,turpis,26,1
393,Pellentesque,37,2
394,"at,",48,1
395,adipiscing,41,1
396,Quisque,40,3
397,velit.,17,3
398,Nunc,31,2
399,auctor,48,2
400,semper,26,2
